original_tweet,sentiment_result
rt bermanadotcon jasa ditubuhkan peruntukan rm juta mengambil alih tugas barisan hadapan memerangi covid ht,5
terkonfirmasi positif covid orang bupati garut ingatkan munculnya klaster https t co lkopmvluzv,4
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
tidur je esok takda covid gn,2
rt goriaucom talkshow cerita ketua kpu riau ilham yasir penyintas covid https t co knis we ti,2
cegah covid polsek jajaran polres grobogan sosialisasikan protokol kesehatan https t co uffqcgzbrh,2
rt dradhambaba kerajaan komited sumber vaksin covid program covax dijangkakan bekalan vaksin meli,-3
jaga kesehatan kite ndk prnh tau covid real engga tp ga salahnya antisipasi memakai masker pake antiseptic minum vit c karna imun kuat,2
cegah covid pemdes rubit masker siswa paud amp sd satgascovid ingatpesanibu pakaimasker jagajarak jagajarakhindarikerumunan cucitangan cucitanganpakaisabun https t co bxmnlj euo,5
hazimmhalimm start up ni terkesan takde covid pon susah nak kick start any business pulak covid pkp lancau ni,-5
salah pilihan raya tu laaa kena perlembagaan nnti pilihan raya kat sarawak and sabah nmpk gayanya covid x selesai nak convo nak intern nak kerja ya allah permudahkan urusan,16
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt kesidang dap marah pasal budget membantu rakyat mendepani covid peruntukan seko,-8
rt kkmputrajaya selangor kes baharu kluster sedia kluster teratai baharu saringan kontak rapa,7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
orang kebahagiaan terpalit terpaksa tanggung akibat letih berhenti selfish kerjasama korang je nak kebebasan kebahagiaan manusia dunia nak bebas covid ni tau,4
jasa ditubuhkan peruntukan rm juta mengambil alih tugas barisan hadapan memerangi covid https t co vvf nn rak,5
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
miapramesty covid gak covid ya liburan desember,7
musykil melaka kes covid rendah pahang pahang kena pkpb pulak kerajaan pn amal double standard mahu penjelasan pasal kah https t co cwj s muvc,-7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt mohkeipoh kes perak kes positif covid dicatatkan https t co faigfeuzxw,11
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
hahahah bodo siak covid warrior berdekah,-5
rakyat lema covid hentikan,0
rt healthpunjabgov covid cases in pakistan and punjab punjabcoronavirusupdate https t co wbb axz w,0
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
perkuat tracing covid dki rekrut tenaga khusus satgascovid ingatpesanibu pakaimasker jagajarak jagajarakhindarikerumunan cucitangan cucitanganpakaisabun https t co ngvwswpwio,3
asumsi adl covid sepenuhnya diatasi pandemi endemi krn varietasnya penjarakan fisik kaidah pengorganisasian sosial yg permanen ekonomi global bertransformasi no touch economy,-16
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rossi negatif giliran kru maverick vinales positif covid orang anggota tim monster energy yamaha motogp menjalani karantina orang dinyatakan berisiko orang merupaka kru maverick vinales dinyatakan positif https t co gezn jelw https t co hnptgcrubv,7
rt jcowacko keluargamu teman kerjamu positif covid dinyatakan sembuh swab ulang khawatir menularkan lingkun,9
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
covid kalah detik,-4
rt shahrulfikry geng geng covid ni salah konspirasi iluminati ni pu azman nak sekolahkan korang ni,0
pembayaran santunan pemerintah korban covid total dana santunan sabtu covidindonesia covid covid infocovid https t co jomp cpmc,6
ubaidah update kes covid mcm tu mlm,3
rt burungcip ni parah ni covid https t co zxhmxdp rs,-5
pengalihan isu kawal covid eh salah detik gisel pemersatubangsa,-4
aizuddin mahat syahir jasly fitmuzafar hahahahaha memfucking covid la tu,0
rt farhanzulkefly of course kenaikan mendadak ni covid peruntukan covid peruntukan langsung bil,3
persentase proporsi sembuh covid indonesia berdasarkan jenis kelamin sabtu covidindonesia covid covid infocovid https t co khjiobpeit,-3
rt itsrianarose semoga minggu pkpb kes covid berkurang,0
hipiyaaaaaa kelakar tengok orang sarawak and sabah benci dngan orang semenanjung at the same time frontliner semenanjung berduyun duyun pergi sabah nak settle covid kt not to mention askar polis mati kena tembak pengganas sulu mempertahankan sabah,-1
dunia akhirat manfaatkanlah kesehatan nasa covid allah swt mentadabburi al qur an sia sia mengenal mendalami allah swt rasulullah swt iman taqwa salam tinggalkan solat,3
rt nabilahudatahar berbulan rakyat makan shopping elok je pakai mask scan temperature ahli politik b,0
rt mediaindonesia pamor umkm batik berkilau pandemi covid satgascovid ingatpesanibu pakaimasker jagajarak jagaja,-5
estimasi reproduksi transmisi rt aktif covid indonesia sabtu covid infocovid https t co oqnfm kgwg,2
alhmdulillah smenjak covid kalo plng prwkrta aman aman aja aman mksdnya ya sehat aja gtu kluarga temen yg abis ktemu sehat smuanya,15
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
qorygore udah gak jaman covid jamanya detik,-2
rt geloraco terawan sukses tangani covid ahli kemenkes salah baca surat who https t co o b iome,2
rt yantikent orang salah satunya petugas kesehatan daerah merek,-7
rt kkmputrajaya status terkini covid malaysia nov kes sembuh kes sembuh kes kes baharu positif k,27
tim satgas covid yuk tulis dm comment terpilih langsung tim satgas program korona update pkl wib tanyasatgascovid https t co bsm haat f,-1
nickcribari bih got covid,-3
covid memecah bangsa dipersatukan video detik,-4
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt pedoqpop ni percaya kewujudan covid,2
fadquadra tuu selagi covid hilang,1
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
org ckp covid dah klu pakat duk dlm hutan lepas ai dr hutan pulak pegi jalan tu nnty bawak covid fitnah tu ermmm risau ramai yg gelabah ktakutan so bertanggungjawab utk explain,1
rt kabarklaten apbd klaten fokus penanganan covid https t co qy b yt,4
rt burungcip ni parah ni covid https t co zxhmxdp rs,-5
muka kau dahla hodoh sampah sial nak covid kepala bana kau sial,-14
adaptasi kebiasaan amp kasih kendor budayakan memakai masker menjalankan aktifitas antisipasi covid adaptasikebiasaanbaru jangankasihkendor https t co zmbk xbpgi,7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt arivinraj turu menteri bodoh eh punca kes bodoh nya menteri malaysia bodoh bawak covid sabah pastu pkpb h,-12
muhdkaz kau still kt singapore eh tu lahhh hopefully cepat sembuh and hilang penyakit covid ni,6
rt abdulmu annuarmusa tanda orang faham ekonomi nak quranic village musim covid power,-2
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
faham dgn antivac ni dlm kepalaotak fikir sembang ramai org sembuh je covid benda ni dah bunuh sejuta org la sial,-6
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt plustrafik pengumuman penutupan surau r amp r hentian sebelah amp plaza tol lebuhraya plus kawasan wilayah persekutuan kl,-5
tujuh pelaku penyebar video hoaks jenazah covid ditangkap polisi news jawa barat https t co py ryrfp,-4
provinsi penambahan covid lt s d gt sabtu covid infocovid https t co j wmsrdiai,2
rt itsrianarose semoga minggu pkpb kes covid berkurang,0
rt kkmputrajaya selangor kes baharu kluster sedia kluster teratai baharu saringan kontak rapa,7
rt atqhanuar dah menyampah nak kes covid orang onar pulak kena duduk rumah apahal,-11
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
rt myhealthkkm pergerakan taburan kes covid mengikut daerah malaysia setakat november covid kitateguhkitamenan,0
adaptasi kebiasaan amp kasih kendor budayakan memakai masker menjalankan aktifitas antisipasi covid adaptasikebiasaanbaru jangankasihkendor https t co aqlsuxdoz,7
masasikamu mendingan ni gue w kmrn kena covid tp kayanya engga,-8
rt kkmputrajaya selangor kes baharu kluster sedia kluster teratai baharu saringan kontak rapa,7
udah absen lamaaa skrg covid edennn edennn https t co px g zl j,-3
covid ri turun tajam pekan gara gara libur https t co puylpjvrh,0
khairulaming tajuk kajian covid vaccine is found a bless or a curse berharap sudi melengkapkan borang kaji selidik ucapan terima kasih dahulukan kerjasama https t co hupyw gucl,23
rt redzuannewsmpb covid ikea damansara ditutup selepas pekerja part time disyaki positif covid https t co dbuz,7
rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize,-7
udah bayarannya nambah wisudanya gajelas grgr covid gini,0
asad umar ap logon kay jalsy men covid nhi at a,0
rt fadzilahmamat negeri pkpb tu negeri selamat covid negeri selamat kerajaan pn,7
rt nerazzurri ale resmi daniele padelli positif covid radu gagliardini jalani swab tes ulang https t co yefbs o ue ht,9
terkonfirmasi positif covid orang bupati garut ingatkan munculnya klaster https t co ftdm uxch,4
adaptasi kebiasaan amp kasih kendor budayakan memakai masker menjalankan aktifitas antisipasi covid adaptasikebiasaanbaru jangankasihkendor https t co r vop fx,7
agenda covid thailand rekod kes baharu https t co flk bu y https t co ditt soj f,3
